Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species,
C: done 12/29. Agree to keep it Forest,"Done ** Study done at 300 masl. Elevation values for Santa Rosa NP taken from IUCN Directory of Neotropical Protected Areas= 0 to 319 mt. IUCN Directory give a set of coordinates, but not very accurate, these coord point out a different site ""Estacion Experimental Forestal Horizontes"" which is a research station southeast of Santa Rosa NP. ",,Done,Authors reported the study site at 300 masl. Elevation range reported at Bat Eco-Interactions are those reported by The IUCN Directory of Neotropical Protected Areas for Parque Nacional Santa Rosa.,Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,Ficus ovalis,
C: done 12/29. Agree to keep it Forest,"Done ** Study done at 300 masl. Elevation values for Santa Rosa NP taken from IUCN Directory of Neotropical Protected Areas= 0 to 319 mt. IUCN Directory give a set of coordinates, but not very accurate, these coord point out a different site ""Estacion Experimental Forestal Horizontes"" which is a research station southeast of Santa Rosa NP. ",,Done,Authors reported the study site at 300 masl. Elevation range reported at Bat Eco-Interactions are those reported by The IUCN Directory of Neotropical Protected Areas for Parque Nacional Santa Rosa.,Primary  ,32,"Bonaccorso, F. J. & T. J. Gush. 1987",Central America,Parque Nacional Santa Rosa,Costa Rica,Forest,10.8379308,-85.7051116,0,319,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,Cecropia peltata,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Malvaceae,Ochroma,Ochroma lagopus,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Malvaceae,Pseudobombax,Pseudobombax septenatum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Malvaceae,Ochroma,Ochroma lagopus,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Visitation,Flower,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris brachyotis,Plant,,,Malvaceae,Ochroma,Ochroma lagopus,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Hypericaceae,Vismia,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Hypericaceae,Vismia,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Moraceae,Poulsenia,Poulsenia armata,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Arecaceae,Astrocaryum,Astrocaryum standleyanum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Anacardiaceae,Spondias,Spondias mombin,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper marginatum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Clusiaceae,Clusia,Clusia odorata,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Urticaceae,Cecropia,Cecropia obtusifolia,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Moraceae,Ficus,Ficus obtusifolia,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Salicaceae,Tetrathylacium,Tetrathylacium johansenii,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Solanaceae,Markea,Markea panamensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper carrilloanum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,Fruit,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plant,,,Moraceae,Ficus,Ficus insipida,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Plant,,,Moraceae,Ficus,Ficus insipida,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma villosum,Plant,,,Moraceae,Ficus,Ficus popenoei,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma trinitatum,Plant,,,Moraceae,Ficus,Ficus popenoei,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,Fruit,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Solanaceae,Solanum,Solanum hayesii,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper cordulatum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper reticulatum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper aequale,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Moraceae,Brosimum,Brosimum bernadetteae,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,C,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Cyclanthaceae,Carludovica,Carludovica palmata,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia exima,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Cassia,Cassia undulata,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Moraceae,Ficus,Ficus yoponensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus insipida,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Plant,,,Moraceae,Ficus,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper aequale,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper reticulatum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,Cecropia exima,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Centurio,Centurio senex,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper cordulatum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Bromeliaceae,Aechmea,Aechmea tillandsioides,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Moraceae,Brosimum,Brosimum bernadetteae,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Solanaceae,Markea,Markea panamensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Solanaceae,Solanum,Solanum hayesii,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Cyclanthaceae,Carludovica,Carludovica palmata,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Urticaceae,Cecropia,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Urticaceae,Cecropia,Cecropia exima,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,Cecropia exima,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Clusiaceae,Havetiopsis,,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Clusiaceae,Calophyllum,Calophyllum longifolium,
C: done 12/29,Done. Applied location specs for BCI taken from http://www.forestgeo.si.edu/floss/site/Barro%20Colorado%20Island/ and toporaphic_map.pdf,,Done,,Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,,
