CitationId,CitationShortDescription,Region,LocationDescription,Country,HabitatType,Lat,Long,Elev,ElevRangeMax,InteractionType,InteractionTags,BatOrder,BatFamily,BatGenus,BatSpecies,Plant/Arthropod,ObjectClass,ObjectOrder,ObjectFamily,ObjectGenus,ObjectSpecies
26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus watsoni,Plant,,,Moraceae,Ficus,Ficus insipida
26,"Banack, S. A., M. H. Horn & A. Gawlicka. 2002",Central America,La Selva Biological Station,Costa Rica,Forest,10.422,-84.015,35,135,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus insipida
28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Piperaceae,Piper,Piper arboreum
28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper arboreum
28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Piperaceae,Piper,Piper arboreum
28,"Bizerril, M. X. A. &  A. Raw. 1997",South America,"Fazenda Água Limpa, Experimental Station of the University of Brasília",Brazil,Forest,-15.908178,-47.85902,1000,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Piperaceae,Piper,Piper arboreum
30,"Bloedel, P. 1955",Central America,Summit Experimental Gardens,Panama,Forest,9.065,-79.646,100,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum
30,"Bloedel, P. 1955",Central America,Summit Experimental Gardens,Panama,Forest,9.065,-79.646,100,,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Arecaceae,,
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Hypericaceae,Vismia,
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Urticaceae,Cecropia,
33,"Bonaccorso, F. J. & S. R. Humphrey. 1984",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,"Primary  , Seed",Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis
