Notes-Cullen,Notes-Tuli,Secondary-cit. to add later?,Final status,Comments,Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Object Kingdom,Object Phylum,Object Class,Object Order,Object Family,Object Genus,Object Species
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma magnirostrum,Plantae,,,,Piperaceae,Pothomorphe,Pothomorphe peltata
C: done 12/28,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plantae,,,,Piperaceae,Piper,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Piperaceae,Piper,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plantae,,,,Piperaceae,Piper,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plantae,,,,Hypericaceae,Vismia,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plantae,,,,Urticaceae,Cecropia,Cecropia membranacea
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Plantae,,,,Moraceae,Ficus,
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Plantae,,,,Urticaceae,Cecropia,Cecropia membranacea
These must be done. ,T:done. Description and map of the site was given. Coord and elevation were calculated.,,Done,,Primary  ,16,"Ascorra, C. F. & D. E. Wilson. 1992",South America,"Explorama Lodge, Amazon",Peru,Forest,-3.390049,-72.865791,134,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plantae,,,,Hypericaceae,Vismia,
