Citation ID,Citation Short Description,Full Text,Authors,Year,Title,Publication Title,Publication Type,Publisher,Volume,Issue,Pages
323,"Willig, M. R. & M. R. Gannon. 1996","Willig, M. R. & M. R. Gannon. 1996. Mammals. The food webof a tropical rain forest. The University of Chicago Press 399-431","Gannon, Willig",1996,The food webof a tropical rain forest,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,--Issue-,399-431
324,"Willig, M. R., G. R. Camilo & S. J. Noble. 1993","Willig, M. R., G. R. Camilo & S. J. Noble. 1993. Dietary overlap in frugivorous and insectivorous bats from edaphic cerrado habitats of Brazil. J. Mammal. 74: 117-128.","Willig, Camilo, Noble",1993,Dietary overlap in frugivorous and insectivorous bats from edaphic cerrado habitats of Brazil,Journal of Mammalogy,--Pub-Type-,--Publisher-,--Volume-,74,117-128
326,"Wilson, D. E. 1971","Wilson, D. E. 1971. Food habits of Micronycteris hirsuta (Chiroptera : Phyllostomatidae). Mammalia 35: 107-110.",Wilson,1971,Food habits of Micronycteris hirsuta (Chiroptera : Phyllostomatidae),--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,35,107-110
327,"Wilson, D. E., C. F. Ascorra & S. Solari-T. 1996","Wilson, D. E., C. F. Ascorra & S. Solari-T. 1996. Bats as indicators of habitat disturbance. In Manu. The biodiversity of southeastern Peru (Wilson, D. E. & A. Sandoval eds.), pp. 613-625. Editorial Horizonte.","Ascorra, Solari-T, Wilson",1996,Bats as indicators of habitat disturbance,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
328,"Winkelmann, J. R. 1978","Winkelmann, J. R. 1978. Observations on feeding efficiency of captive Glossophaga soricina. Bat Research News 19: 31.",Winkelmann,1978,Observations on feeding efficiency of captive Glossophaga soricina,Bat Research News,--Pub-Type-,--Publisher-,--Volume-,19,31
329,"Zona, S. & A. Henderson. 1989","Zona, S. & A. Henderson. 1989. A review of animal-mediated seed dispersal of palms. Selbyana 11: 6-21.","Henderson, Zona",1989,A review of animal-mediated seed dispersal of palms,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,11,6-21
331,"Zona, S. 2001","Zona, S. 2001. Additions to 'A review of animal-mediated seed dispersal of palms'. Fairchild Tropical Garden, Coral Gables, Florida. www.ftg.fiu.edu/palms/psdispersal.html.",Zona,2001,Additions to 'A review of animal-mediated seed dispersal of palms',--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
332,"Zortéa, M. & A. G. Chiarello. 1994","Zortéa, M. & A. G. Chiarello. 1994. Observations on the big fruit-eating bat, Artibeus lituratus, in an urban reserve of south-east Brazil. Mammalia 58: 665-670.","Chiarello, Zortéa",1994,"Observations on the big fruit-eating bat, Artibeus lituratus, in an urban reserve of south-east Brazil",--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,58,665-670
333,"Zortéa, M. 1993","Zortéa, M. 1993. Folivory in Platyrrhinus (Vampyrops) lineatus. Bat Research News 34: 59-60.",Zortéa,1993,Folivory in Platyrrhinus (Vampyrops) lineatus,Bat Research News,--Pub-Type-,--Publisher-,--Volume-,34,59-60
334,"Zusi, R. L. & M. J. Hamas. 2001","Zusi, R. L. & M. J. Hamas. 2001. Bats and birds as potential pollinators of three species of Marcgravia lianas on Dominica. Caribbean J. Sci. 37: 274-278.","Hamas, Zusi",2001,Bats and birds as potential pollinators of three species of Marcgravia lianas on Dominica,--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,37,274-278
335,"Arizaga, S. et al. 2000a","Arizaga, S., E. Ezcurra, E. Peters, F. R. de Arellano & E. Vega. 2000a. Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. I. Floral biology and pollination mechanisms. American Journal of Botany 87: 1004-1010.","Arizaga, Ezcurra, Peters, de Arellano, Vega",2000,Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert.  I. Floral biology and pollination mechanisms.,American Journal of Botany,--Pub-Type-,--Publisher-,--Volume-,87,1004-1010
336,"Baker, H. G. & B. J. Harris. 1957","Baker, H. G. & B. J. Harris. 1957. The pollination of Parkia by bats and its attendant evolutionary problems. Evolution 11: 449-460.","Baker(H), Harris",1957,The pollination of Parkia by bats and its attendant evolutionary problems,Evolution,--Pub-Type-,--Publisher-,--Volume-,11,449-460
337,"Baker, H. G., R. W. Cruden & I. Baker. 1971","Baker, H. G., R. W. Cruden & I. Baker. 1971. Minor parasitism in pollination biology and its community function: the case of Ceiba acuminata. Bioscience 21: 1127-1129.","Baker(H), Cruden, Baker(I)",1971,Minor parasitism in pollination biology and its community function: the case of Ceiba acuminata,Bioscience,--Pub-Type-,--Publisher-,--Volume-,21,1127-1129
338,"Baker, H. G., I. Baker & S. A. Hodges. 1998","Baker, H. G., I. Baker & S. A. Hodges. 1998. Sugar composition of nectars and fruits consumed by birds and bats in the tropics and subtropics. Biotropica 30: 559-586.","Baker(H), Baker(I), Hodges",1998,Sugar composition of nectars and fruits consumed by birds and bats in the tropics and subtropics,Biotropica,--Pub-Type-,--Publisher-,--Volume-,30,559-586
339,"Baker, H. G. 1970","Baker, H. G. 1970. Two cases of bat pollination in Central America. Revista de Biologia Tropical. 17: 187-197.",Baker(H),1970,Two cases of bat pollination in Central America,Revista de Biologia Tropical,--Pub-Type-,--Publisher-,--Volume-,17,187-197
340,"Buzato, S., M. Sazima & I. Sazima. 1994","Buzato, S., M. Sazima & I. Sazima. 1994. Pollination of three species of Abutilon (Malvaceae) intermediate between bat and hummingbird flower syndromes. Flora Neotropica Monograph. Flora 189: 327-334.","Buzato, Sazima(M), Sazima(I)",1994,Pollination of three species of Abutilon (Malvaceae) intermediate between bat and hummingbird flower syndromes,Flora Neotropica Monograph,--Pub-Type-,--Publisher-,--Volume-,189,327-334
341,"Charles-Dominique, P. 1993","Charles-Dominique, P. 1993. Speciation and coevolution: an intrepretation of frugivory phenomena. Vegetatio 107/108: 75-84.",Charles-Dominique,1993,Speciation and coevolution: an intrepretation of frugivory phenomena,Vegetatio,--Pub-Type-,--Publisher-,--Volume-,--Issue-,75-84
342,"Dobat, K. & T. Peikert-Holle. 1985","Dobat, K. & T. Peikert-Holle. 1985. Blüten und fledermäuse. Blutenbestäubung durch fledermäuse und flughunde (chiropterophilie). Waldemar Kramer.","Dobat, Peikert-Holle",1985,Blüten und fledermäuse. Blutenbestäubung durch fledermäuse und flughunde (chiropterophilie),--Publication-Title-,--Pub-Type-,--Publisher-,--Volume-,--Issue-,--Pages-
